"Site name","Address","Phone","Program Name","Length of Day"
" Easter Seals Society of Metropolitan Chicago - Near South Side","3630 S Wells Ave ",5483614,"Early Head Start","EXTENDED DAY"
" Carole Robertson Center For Learning - Carole Robertson Center- Ogden 3701","3701 W Ogden Ave ",5228400,"Early Head Start","EXTENDED DAY"
" Carole Robertson Center For Learning - Carole Robertson Center- Ogden 3701","3701 W Ogden Ave ",5228400,"Early Head Start","EXTENDED DAY"
" Easter Seals Society of Metropolitan Chicago - It Takes a Village","4000 W Division St ",,"Early Head Start","EXTENDED DAY"
" El Hogar del Nino/Cuidar - Maria Freeman","4312 S CALIFORNIA AVE ",,"Early Head Start","EXTENDED DAY"
" YWCA of Metropolitan Chicago - Debra Phillips","5116 S Prairie AVE ",,"Early Head Start","EXTENDED DAY"
" Onward Neighborhood House - Belmont-Cragin","5423 W Diversey ",,"Early Head Start","EXTENDED DAY"
" YMCA of Metropolitan Chicago - Garfield Head Start/Child Developmental Center- YMCA","7 N Homan Ave ",2653900,"Early Head Start","EXTENDED DAY"
" Salvation Army - EHS Family Child Homes","845 W 69th St ",3824700,"Early Head Start","EXTENDED DAY"
" Salvation Army - Temple / Salvation Army","1 N Ogden Ave ",2262649,"Head Start","HALF DAY/FULL DAY"
" Salvation Army - Temple / Salvation Army","1 N Ogden Ave ",2262649,"Head Start","HALF DAY/FULL DAY"
" National Louis University - Dr. Effie O. Ellis Training Center","10 S Kedzie Ave ",5339011,"Head Start","HALF DAY/FULL DAY"
" National Louis University - Dr. Effie O. Ellis Training Center","10 S Kedzie Ave ",5339011,"Head Start","HALF DAY/FULL DAY"
" Board Trustees-City Colleges of Chicago - Olive-Harvey College","10001 S Woodlawn Ave ",2916100,"Head Start","HALF DAY/FULL DAY"
" Board Trustees-City Colleges of Chicago - Olive-Harvey College","10001 S Woodlawn Ave ",2916100,"Head Start","HALF DAY/FULL DAY"
" Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman","1001 W Roosevelt Rd ",9395115,"Head Start","HALF DAY/FULL DAY"
" Easter Seals Society of Metropolitan Chicago - Gilchrist-Marchman","1001 W Roosevelt Rd ",9395115,"Head Start","HALF DAY/FULL DAY"
" Jenner","1009 N. Cleveland ",5348440,"Head Start","5-6 hours"
" Revere","1010 E. 72nd St. ",5350618,"Head Start","5-6 hours"
" Hay","1018 N. Laramie ",5346000,"Head Start","5-6 hours"
" Hull House Association - Uptown Head Start / Hull House","1020 W Bryn Mawr Ave ",7695753,"Head Start","HALF DAY/FULL DAY"
" Piccolo","1040 N. Keeler ",5344425,"Head Start","5-6 hours"
" Kohn","10414 S. State St. ",5355489,"Head Start","3-4 hours"
" Catholic Charities of the Archdiocese of Chicago - St. Kevin","10509 S Torrence Ave ",3746466,"Head Start","HALF DAY/FULL DAY"
" Catholic Charities of the Archdiocese of Chicago - St. Kevin","10509 S Torrence Ave ",3746466,"Head Start","HALF DAY/FULL DAY"
" Ada S. McKinley Community Services - McKinley - Trumbull Park","10530 S Oglesby ",3757022,"Head Start","HALF DAY/FULL DAY"
" Community Learning Center - Community Learning Center","10612 S Wentworth Ave ",9284104,"Head Start","HALF DAY/FULL DAY"
" Hull House Association - New Age","10951 S Michigan Ave ",,"Head Start","HALF DAY/FULL DAY"
" Bethel New Life - Molade Child Development Center","1120 N Lamon Ave ",6267760,"Head Start","HALF DAY/FULL DAY"
" Henry Booth House - Hippity Hop Tiny Tots","11223 S Halsted St ",7853340,"Head Start","HALF DAY/FULL DAY"
" Henry Booth House - Humpty Dumpty","1126 W 99th ST ",,"Head Start","HALF DAY/FULL DAY"
" Chicago Youth Centers - Lotts of Love","1139 W 79th St ",8744954,"Head Start","HALF DAY/FULL DAY"
" Ada S. McKinley Community Services - McKinley - Roseland","11410 S Edbrooke Ave ",4681918,"Head Start","HALF DAY/FULL DAY"
" Ada S. McKinley Community Services - McKinley - Roseland","11410 S Edbrooke Ave ",4681918,"Head Start","HALF DAY/FULL DAY"
" Haley, Alex","11411 S. Eggleston ",5355340,"Head Start","3-4 hours"
" Board Trustees-City Colleges of Chicago - Truman","1145 W Wilson Ave ",8781700,"Head Start","HALF DAY/FULL DAY"
" Henry Booth House - Accounters/Partners","1155 W 81st St ",9945514,"Head Start","HALF DAY/FULL DAY"
" Chicago State University - Gingerbread House","11640 S Wentworth Ave ",9284041,"Head Start","HALF DAY/FULL DAY"
" Chicago State University - Gingerbread House","11640 S Wentworth Ave ",9284041,"Head Start","HALF DAY/FULL DAY"
" Higgins","11710 S. Morgan ",5355625,"Head Start","3-4 hours"
" Songhai","11725 S. Perry ",5355547,"Head Start","3-4 hours"
" Cameron","1234 N. Monticello ",5344290,"Head Start","5-6 hours"
" Chicago State University - Academy of Early Education","124 E 113th St ",7858163,"Head Start","HALF DAY/FULL DAY"
" Chicago State University - Academy of Early Education","124 E 113th St ",7858163,"Head Start","HALF DAY/FULL DAY"
" Perez","1241 W. 19Th St. ",5347650,"Head Start","5-6 hours"
" Carpenter","1250 W. Erie ",5347385,"Head Start","3-4 hours"
" Brown Academy, R.","12607 S. Union ",5355385,"Head Start","3-4 hours"
" Easter Seals Society of Metropolitan Chicago - Stepping Stones Early/Childhood Lear","1300 E 75th St ",4930000,"Head Start","HALF DAY/FULL DAY"
" Marcy Newberry Association - FOSCO ABLA Center","1312 S Racine Ave ",7466024,"Head Start","HALF DAY/FULL DAY"
" Marcy Newberry Association - FOSCO ABLA Center","1312 S Racine Ave ",7466024,"Head Start","HALF DAY/FULL DAY"
" Henry Booth House - Kids Place II, Inc","1318 W 95th St ",4456500,"Head Start","HALF DAY/FULL DAY"
" Henson","1326 S. Avers Ave ",5341804,"Head Start","5-6 hours"
" Henson","1326 S. Avers Ave ",5341804,"Head Start","5-6 hours"
" Medill Inter","1326 W. 14Th Pl. ",5347760,"Head Start","5-6 hours"
" St. Augustine College - St. Augustine - Main Campus","1333 W Argyle St ",8783231,"Head Start","HALF DAY/FULL DAY"
" Altgeld","1340 W. 71St ",5353250,"Head Start","5-6 hours"
" Salvation Army - Incarnation / Salvation Army","1345 N Karlov Ave ",2764118,"Head Start","HALF DAY/FULL DAY"
" Abraham Lincoln Centre - Hope Presbyterian Church","1354 W 61st St ",4715100,"Head Start","HALF DAY/FULL DAY"
" Lavizzo","138 W. 109Th St ",5355300,"Head Start","3-4 hours"
" Northwestern University Settlement House - Northwestern University Settlement House","1400 W Augusta Blvd ",2787471,"Head Start","HALF DAY/FULL DAY"
" Herzl CPC","1401 S. Hamlin ",5341751,"Head Start","3-4 hours"
" Herzl CPC","1401 S. Hamlin ",5341751,"Head Start","3-4 hours"
" Henry Booth House - Taylor Day School","1414 W 87th St ",2392322,"Head Start","HALF DAY/FULL DAY"
" McDowell","1419 E. 89Th ",5356404,"Head Start","5-6 hours"
" Pilsen","1420 W. 17Th St. ",5347675,"Head Start","3-4 hours"
" Pilsen","1420 W. 17Th St. ",5347675,"Head Start","3-4 hours"
" Lozano Bilingual","1424 N. Cleaver ",5344150,"Head Start","5-6 hours"
" Young","1434 N. Parkside ",5346200,"Head Start","3-4 hours"
" Lathrop","1440 S. Christiana ",5341812,"Head Start","5-6 hours"
" Peabody","1444 W. Augusta ",5344170,"Head Start","5-6 hours"
" Catholic Charities of the Archdiocese of Chicago - Our Lady of Lourdes","1449 S Keeler Ave ",5213126,"Head Start","HALF DAY/FULL DAY"
" Catholic Charities of the Archdiocese of Chicago - Our Lady of Lourdes","1449 S Keeler Ave ",5213126,"Head Start","HALF DAY/FULL DAY"
" Lutheran Social Services of Illinois - North Austin / LSSI","1500 N Mason Ave ",2371930,"Head Start","HALF DAY/FULL DAY"
" Marcy Newberry Association - New Birth","1500 W 69th St ",4710699,"Head Start","HALF DAY/FULL DAY"
" Chicago Youth Centers - Mt. Moriah-Taylor / CYC","1501 N Harding Ave ",2785837,"Head Start","HALF DAY/FULL DAY"
" Johnson","1504 S. Albany ",5341833,"Head Start","5-6 hours"
" Henry Booth House - Lakeview Development Center","1531 W Lawrence Ave ",,"Head Start","HALF DAY/FULL DAY"
" Marcy Newberry Association - Marcy Center","1539 S Springfield Ave ",7612300,"Head Start","HALF DAY/FULL DAY"
" Marcy Newberry Association - Marcy Center","1539 S Springfield Ave ",7612300,"Head Start","HALF DAY/FULL DAY"
" Mary Crane League - Mary Crane - Morse","1545 W Morse Ave ",2621390,"Head Start","HALF DAY/FULL DAY"
" Penn","1616 S. Avers ",5341665,"Head Start","3-4 hours"
" Cooper","1624 W. 19Th St. ",5347205,"Head Start","5-6 hours"
" Cooper","1624 W. 19Th St. ",5347205,"Head Start","5-6 hours"
" South Shore Bible - Maranatha","1631 E 71st St ",4937500,"Head Start","HALF DAY/FULL DAY"
" Gale","1631 W. Jonquil Tr. ",5342100,"Head Start","5-6 hours"
" Chicago Commons Association - Taylor Center for New Experiences","1633 N Hamlin Ave ",2278551,"Head Start","HALF DAY/FULL DAY"
" Easter Seals Society of Metropolitan Chicago - Kimball Day Care","1636 N Kimball Ave ",,"Head Start","HALF DAY/FULL DAY"
" Catholic Charities of the Archdiocese of Chicago - Ebenezer","1652 W Foster Ave ",8789925,"Head Start","HALF DAY/FULL DAY"
" Chicago Commons Association - Paulo Freire","1653 W 43rd St ",8262669,"Head Start","HALF DAY/FULL DAY"
" Erie Neighborhood House - Erie Community Center","1701 W Superior St ",5635800,"Head Start","HALF DAY/FULL DAY"
" New Field","1707 W. Morse ",5342760,"Head Start","3-4 hours"
" El Valor - Little Tykes I","1711 W 35th St ",2547700,"Head Start","HALF DAY/FULL DAY"
" El Valor - Little Tykes I","1711 W 35th St ",2547700,"Head Start","HALF DAY/FULL DAY"
" El Hogar del Nino/Cuidar - El Hogar del Nino/El Centro - Loomis","1718 S Loomis Blvd ",5639796,"Head Start","HALF DAY/FULL DAY"
" El Hogar del Nino/Cuidar - El Hogar del Nino/El Centro - Loomis","1718 S Loomis Blvd ",5639796,"Head Start","HALF DAY/FULL DAY"
" El Valor - Little Tykes II","1723 W 35th St ",5791791,"Head Start","HALF DAY/FULL DAY"
" El Valor - Little Tykes II","1723 W 35th St ",5791791,"Head Start","HALF DAY/FULL DAY"
" Church of God True Believers - Church of God Day Care","1738 W Marquette Rd ",4715222,"Head Start","HALF DAY/FULL DAY"
" Jungman","1746 S. Miller ",5347375,"Head Start","3-4 hours"
" Lutheran Social Services of Illinois - Rogers Park / LSSI","1754 W Devon Ave ",2623366,"Head Start","HALF DAY/FULL DAY"
" Chicago Commons Association - Guadalupano Family Center","1814 S Paulina St ",6663883,"Head Start","HALF DAY/FULL DAY"
" Chicago Commons Association - Guadalupano Family Center","1814 S Paulina St ",6663883,"Head Start","HALF DAY/FULL DAY"
" YMCA of Metropolitan Chicago - McCormick Tribune- YMCA","1834 N Lawndale Ave ",2352525,"Head Start","HALF DAY/FULL DAY"
" Yates","1839 N. Richmond ",5344550,"Head Start","5-6 hours"
" Henry Booth House - Wee Care Nursery and Kindergarden","1845 E 79th St ",2214442,"Head Start","HALF DAY/FULL DAY"
" Henry Booth House - Nico's","1855 W 95th St ",2380117,"Head Start","HALF DAY/FULL DAY"
" Esmond","1865 W. Montvale ",5352650,"Head Start","3-4 hours"
" Board Trustees-City Colleges of Chicago - Malcolm X College","1900 W Van Buren St ",8507000,"Head Start","HALF DAY/FULL DAY"
" Board Trustees-City Colleges of Chicago - Malcolm X College","1900 W Van Buren St ",8507000,"Head Start","HALF DAY/FULL DAY"
" Whittier","1900 W. 23rd St. ",5354590,"Head Start","3-4 hours"
" Lutheran Social Services of Illinois - Englewood Messiah","1910 W 64th ST ",,"Head Start","HALF DAY/FULL DAY"
" Ada S. McKinley Community Services - Vereva","1935 W 51st St ",,"Head Start","HALF DAY/FULL DAY"
" Henry Booth House - Kiddie Kottage","1946 W 87th St ",2337292,"Head Start","HALF DAY/FULL DAY"
" El Valor - Guadalupe Reyes Children & Family Center","1951 W 19th St ",9972021,"Head Start","HALF DAY/FULL DAY"
" El Valor - Guadalupe Reyes Children & Family Center","1951 W 19th St ",9972021,"Head Start","HALF DAY/FULL DAY"
" Henry Booth House - Loop","2001 S Michigan Ave ",2258828,"Head Start","HALF DAY/FULL DAY"
" North Avenue Day Nursery - North Avenue Day Nursery","2001 W Pierce Ave ",3424499,"Head Start","HALF DAY/FULL DAY"
" Carole Robertson Center For Learning - Carole Robertson Center CTR 2020","2020 W Roosevelt Rd ",2437300,"Head Start","HALF DAY/FULL DAY"
" Carole Robertson Center For Learning - Carole Robertson Center CTR 2020","2020 W Roosevelt Rd ",2437300,"Head Start","HALF DAY/FULL DAY"
" Chase","2021 N. Point St. ",5344185,"Head Start","3-4 hours"
" Lloyd","2103 N. Lamon ",5343070,"Head Start","3-4 hours"
" Herbert","2131 W. Monroe ",5347806,"Head Start","5-6 hours"
" Spencer","214 N. Lavergne ",5346150,"Head Start","3-4 hours"
" First Church of Love And Faith - First Church of Love & Faith Church","2140 W 79th St ",8739155,"Head Start","HALF DAY/FULL DAY"
" Chinese American Service League - Chinese American Service League","2141 S Tan Ct ",7910418,"Head Start","HALF DAY/FULL DAY"
" Chinese American Service League - Chinese American Service League","2141 S Tan Ct ",7910418,"Head Start","HALF DAY/FULL DAY"
" First Church of Love And Faith - First Church of Love & Faith Annex","2141 W 79th St ",2246800,"Head Start","HALF DAY/FULL DAY"
" Paderewski","2221 S. Lawndale ",5341821,"Head Start","3-4 hours"
" Ellington","224 N. Central ",5346361,"Head Start","3-4 hours"
" Henry Booth House - Love Learning Center","228 E 61st St ",7520243,"Head Start","HALF DAY/FULL DAY"
" Claremont","2300 W. 64th St ",5358110,"Head Start","5-6 hours"
" Pickard","2301 W. 21st Pl. ",5357280,"Head Start","5-6 hours"
" Dett","2306 W. Maypole ",5347160,"Head Start","3-4 hours"
" El Hogar del Nino/Cuidar - El Hogar del Nino/Cuidar- California","2325 S California Ave ",5231629,"Head Start","HALF DAY/FULL DAY"
" El Hogar del Nino/Cuidar - El Hogar del Nino/Cuidar- California","2325 S California Ave ",5231629,"Head Start","HALF DAY/FULL DAY"
" Henry Booth House - Bernard Gentry","2326 S Dearborn St ",8428557,"Head Start","HALF DAY/FULL DAY"
" Henry Booth House - Bernard Gentry","2326 S Dearborn St ",8428557,"Head Start","HALF DAY/FULL DAY"
" Chicago State University - Kenyatta's Day Care","2334 E 75th ",2213777,"Head Start","HALF DAY/FULL DAY"
" Cardenas","2345 S. Millard ",5341465,"Head Start","3-4 hours"
" Henry Booth House - Hillard House / Henry Booth","2401 S Wabash Ave ",7919710,"Head Start","HALF DAY/FULL DAY"
" Catholic Charities of the Archdiocese of Chicago - Our Lady of Tepeyac","2414 S Albany Ave ",2775888,"Head Start","HALF DAY/FULL DAY"
" Catholic Charities of the Archdiocese of Chicago - Our Lady of Tepeyac","2414 S Albany Ave ",2775888,"Head Start","HALF DAY/FULL DAY"
" YMCA of Metropolitan Chicago - High Ridge YMCA","2424 W Touhy Ave ",2628300,"Head Start","HALF DAY/FULL DAY"
" El Valor - Carlos Cantu","2434 S Kildare Ave ",,"Head Start","HALF DAY/FULL DAY"
" El Valor - Carlos Cantu","2434 S Kildare Ave ",,"Head Start","HALF DAY/FULL DAY"
" Henry Booth House - Wee Wee Center for Creative","2434 W 71st St ",,"Head Start","HALF DAY/FULL DAY"
" Chopin","2450 W. Rice ",5344080,"Head Start","5-6 hours"
" Mayo","249 E. 37Th ",5351260,"Head Start","5-6 hours"
" Beethoven","25 W. 47Th St. ",5351480,"Head Start","5-6 hours"
" Christopher House - Christopher House - Greenview","2507 N Greenview Ave ",4721083,"Head Start","HALF DAY/FULL DAY"
" Henry Booth House - Color For Tots","2550 E 73rd St ",3638687,"Head Start","HALF DAY/FULL DAY"
" Christopher House - Christopher House - Logan Square","2610 N Francisco Ave ",2354073,"Head Start","HALF DAY/FULL DAY"
" St. Augustine College - St. Augustine - Nayarit","2610 W 25th Pl ",8783641,"Head Start","HALF DAY/FULL DAY"
" St. Augustine College - St. Augustine - Nayarit","2610 W 25th Pl ",8783641,"Head Start","HALF DAY/FULL DAY"
" Von Humboldt","2620 W. Hirsch St. ",5344480,"Head Start","5-6 hours"
" El Valor - Teddy Bear 1 51st Street","2649 W 51st St ",,"Head Start","HALF DAY/FULL DAY"
" Dodge","2651 W. Washington ",5346640,"Head Start","5-6 hours"
" Gads Hill Center - Sinai Community/Ogden","2653 W Ogden Ave ",5211196,"Head Start","HALF DAY/FULL DAY"
" Gads Hill Center - Sinai Community/Ogden","2653 W Ogden Ave ",5211196,"Head Start","HALF DAY/FULL DAY"
" YMCA of Metropolitan Chicago - Rauner","2700 S Western Ave ",8473115,"Head Start","HALF DAY/FULL DAY"
" YMCA of Metropolitan Chicago - Rauner","2700 S Western Ave ",8473115,"Head Start","HALF DAY/FULL DAY"
" Williams","2710 S.Dearborn ",5349245,"Head Start","5-6 hours"
" Lafayette","2714 W. Augusta Blvd. ",5344326,"Head Start","5-6 hours"
" Easter Seals Society of Metropolitan Chicago - The Keeper's Inst.","2718 W 59th St ",,"Head Start","HALF DAY/FULL DAY"
" Henry Booth House - Hegewisch","2725 E 130th ",,"Head Start","HALF DAY/FULL DAY"
" Zapata","2728 S. Kostner ",5341390,"Head Start","3-4 hours"
" El Valor - Centro Infantil(Puerto Rican Comm)","2739 W Division St ",3428866,"Head Start","HALF DAY/FULL DAY"
" Chalmers","2745 W. Roosevelt Rd. ",5341720,"Head Start","5-6 hours"
" Henry Booth House - Whiz Kidz Learning Center","2814 W Marquette Rd ",9252859,"Head Start","HALF DAY/FULL DAY"
" Mary Crane League - Mary Crane - West","2820 N Leavitt St ",3485528,"Head Start","HALF DAY/FULL DAY"
" Onward Neighborhood House - Cozy Corner","2820 W North Ave ",,"Head Start","HALF DAY/FULL DAY"
" Saucedo","2850 W. 24Th St. ",5341770,"Head Start","3-4 hours"
" Cather","2908 W. Washington ",5346780,"Head Start","5-6 hours"
" Lutheran Social Services of Illinois - Trinidad / LSSI","2921 W Division St ",2789332,"Head Start","HALF DAY/FULL DAY"
" Henry Booth House - Near South / Henry Booth","2929 S Wabash Ave ",7910424,"Head Start","HALF DAY/FULL DAY"
" Carole Robertson Center For Learning - Carole Robertson Center 2929","2929 W 19th St ",5211600,"Head Start","HALF DAY/FULL DAY"
" Carole Robertson Center For Learning - Carole Robertson Center 2929","2929 W 19th St ",5211600,"Head Start","HALF DAY/FULL DAY"
" Boys and Girls Clubs of Chicago - R.E. Woods","2950 W 25th St ",8475172,"Head Start","HALF DAY/FULL DAY"
" Boys and Girls Clubs of Chicago - R.E. Woods","2950 W 25th St ",8475172,"Head Start","HALF DAY/FULL DAY"
" Schneider","2957 N. Hoyne ",5345510,"Head Start","5-6 hours"
" Mary Crane League - Mary Crane - East","2974 N Clybourn Ave ",3485528,"Head Start","HALF DAY/FULL DAY"
" Cockrell","30 E. 61St ",5350798,"Head Start","5-6 hours"
" Catholic Charities of the Archdiocese of Chicago - Chicago Lawn","3001 W 59th St ",9251085,"Head Start","HALF DAY/FULL DAY"
" Henry Booth House - Little Leaders of Tomorrow","301 N Mayfield Ave ",3788302,"Head Start","HALF DAY/FULL DAY"
" Chicago Youth Centers - Shining Star","3012 E 92nd St ",,"Head Start","HALF DAY/FULL DAY"
" Bethune","3030 W. Arthington ",5346890,"Head Start","5-6 hours"
" El Valor - Young Scholars Dev. Ins","3038 W 59th St ",9181944,"Head Start","HALF DAY/FULL DAY"
" YMCA of Metropolitan Chicago - South Chicago YMCA","3039 E 91st St ",7219100,"Head Start","HALF DAY/FULL DAY"
" El Valor - Rey Gonzalez Children & Family Center","3050 E 92nd St ",7219311,"Head Start","HALF DAY/FULL DAY"
" Beidler","3151 W. Walnut ",5346811,"Head Start","5-6 hours"
" Bethel New Life - Lake and Pulaski","316 N Pulaski Rd ",2653830,"Head Start","HALF DAY/FULL DAY"
" Curtis","32 E. 115Th St. ",5355050,"Head Start","5-6 hours"
" Metropolitan Family Services - Midway Children's Center (Chicago Lawn)","3215 W 63rd St ",8842350,"Head Start","HALF DAY/FULL DAY"
" Linne","3221 N. Sacramento ",5345262,"Head Start","3-4 hours"
" Chicago Youth Centers - Centro Nuestro / CYC","3222 W Division Ave ",4893157,"Head Start","HALF DAY/FULL DAY"
" Metropolitan Family Services - North Children's Center","3249 N Central Ave ",3713700,"Head Start","HALF DAY/FULL DAY"
" Christopher House - Christoper House - Logan Square","3255 W Altgeld St ",2354073,"Head Start","HALF DAY/FULL DAY"
" Chicago State University - Professional Playhouse","338 E 103rd ",5680728,"Head Start","HALF DAY/FULL DAY"
" Chicago State University - Professional Playhouse","338 E 103rd ",5680728,"Head Start","HALF DAY/FULL DAY"
" St. Augustine College - St. Augustine - Flamboyan","3401 W McLean Ave ",2763423,"Head Start","HALF DAY/FULL DAY"
" Easter Seals Society of Metropolitan Chicago - Fifth City","3411 W Fifth Ave ",8268686,"Head Start","HALF DAY/FULL DAY"
" Edgewater Community Council - A B C Center / CYC","3415 W 13th Pl ",7625655,"Head Start","HALF DAY/FULL DAY"
" Edgewater Community Council - A B C Center / CYC","3415 W 13th Pl ",7625655,"Head Start","HALF DAY/FULL DAY"
" Henry Booth House - Pathway","3418 W 79th St ",7765439,"Head Start","HALF DAY/FULL DAY"
" Chicago Youth Centers - Rachel's Learning Center #1","3430 W Roosevelt Rd ",,"Head Start","HALF DAY/FULL DAY"
" Stowe","3444 W. Wabansia ",5344175,"Head Start","3-4 hours"
" YMCA of Metropolitan Chicago - North Lawndale YMCA","3449 W Arthington St ",6380773,"Head Start","HALF DAY/FULL DAY"
" YMCA of Metropolitan Chicago - North Lawndale YMCA","3449 W Arthington St ",6380773,"Head Start","HALF DAY/FULL DAY"
" Chicago Youth Centers - Pathway To Learning","3460 W 79th St ",,"Head Start","HALF DAY/FULL DAY"
" El Valor - Teddy Bear 2 Columbus","3473 W Columbus ",,"Head Start","HALF DAY/FULL DAY"
" YMCA of Metropolitan Chicago - Logan Square - First Lutheran YMCA","3500 W Fullerton Ave ",8625960,"Head Start","HALF DAY/FULL DAY"
" Lawndale","3500 W. Douglas ",5341635,"Head Start","5-6 hours"
" McClellan","3527 S. Wallace ",5351732,"Head Start","3-4 hours"
" Centers For New Horizons - Ida B. Wells Learning Center","3601 S Rhodes St ",3733640,"Head Start","HALF DAY/FULL DAY"
" Dvorak","3615 W. 16Th St. ",5341690,"Head Start","5-6 hours"
" V.F. Thomas Early Childhood Center","3625 S. Hoyne Ave ",5354088,"Head Start","3-4 hours"
" Easter Seals Society of Metropolitan Chicago - Near South Side","3630 S Wells Ave ",5483614,"Head Start","HALF DAY/FULL DAY"
" Monroe","3651 W. Schubert ",5344155,"Head Start","3-4 hours"
" Firman Community Services - Firman House West","37 W 47th St ",3733400,"Head Start","HALF DAY/FULL DAY"
" Carole Robertson Center For Learning - Carole Robertson Center- Ogden 3701","3701 W Ogden Ave ",5228400,"Head Start","HALF DAY/FULL DAY"
" Carole Robertson Center For Learning - Carole Robertson Center- Ogden 3701","3701 W Ogden Ave ",5228400,"Head Start","HALF DAY/FULL DAY"
" Gary","3740 W. 31St St. ",5341455,"Head Start","5-6 hours"
" Onward Neighborhood House - ABC Day Care","3800 N Austin Ave ",6859033,"Head Start","HALF DAY/FULL DAY"
" Ada S. McKinley Community Services - McKinley - St. Thomas","3801 S Wabash Ave ",2850617,"Head Start","HALF DAY/FULL DAY"
" Peck","3826 W. 58Th ",5352450,"Head Start","3-4 hours"
" Hurley","3849 W. 69Th St ",5352068,"Head Start","5-6 hours"
" Easter Seals Society of Metropolitan Chicago - Little Giants","3863 W Harrison St ",,"Head Start","HALF DAY/FULL DAY"
" Centers For New Horizons - Edison L. Hoard Learning Center","3901 S State St ",5362187,"Head Start","HALF DAY/FULL DAY"
" Easter Seals Society of Metropolitan Chicago - It Takes a Village","4000 W Division St ",,"Head Start","HALF DAY/FULL DAY"
" Ward, Laura","410 N. Monticello ",5346440,"Head Start","3-4 hours"
" Fuller","4214 S. St Lawrence ",5351687,"Head Start","5-6 hours"
" Mason","4217 W. 18Th St. ",5341530,"Head Start","3-4 hours"
" Mason","4217 W. 18Th St. ",5341530,"Head Start","3-4 hours"
" Bateman","4220 N. Richmond ",5345055,"Head Start","3-4 hours"
" Robinson","4225 S. Lake Park ",5351777,"Head Start","5-6 hours"
" Salvation Army - New Hope / Salvation Army","4255 W Division St ",7224908,"Head Start","HALF DAY/FULL DAY"
" Goldblatt","4257 W. Adams ",5346860,"Head Start","5-6 hours"
" Korean American Community Services - Korean American Community Services","4300 N California Ave ",5838281,"Head Start","HALF DAY/FULL DAY"
" Centers For New Horizons - Effie Ellis","4301 S Cottage Grove Ave ",,"Head Start","HALF DAY/FULL DAY"
" Ada S. McKinley Community Services - Maggie Drummond Day Care","4301 S Wabash Ave ",3738200,"Head Start","HALF DAY/FULL DAY"
" Morton","431 N. Troy ",5346791,"Head Start","5-6 hours"
" Abraham Lincoln Centre - Lincoln - King","4314 S Cottage Grove Ave ",7472310,"Head Start","HALF DAY/FULL DAY"
" Henry Booth House - Jones Academy","4344 S Wentworth Ave ",5363757,"Head Start","HALF DAY/FULL DAY"
" Hull House Association - Leclaire-Ryder Day Care / Hull House","4410 S Laporte Ave ",7675170,"Head Start","HALF DAY/FULL DAY"
" McCorkle","4421 S. State St. ",5351793,"Head Start","5-6 hours"
" Stockton Br.","4425 N. Magnolia Ave ",5342510,"Head Start","5-6 hours"
" Graham","4436 S. Union ",5351308,"Head Start","5-6 hours"
" El Valor - Kiddy Kare Learning Ctr","4444 S Kedzie Ave ",2476642,"Head Start","HALF DAY/FULL DAY"
" Woodson South","4444 S. Evans Ave ",5351280,"Head Start","5-6 hours"
" Hull House Association - Uptown West / Hull House","4520 N Beacon St ",5613500,"Head Start","HALF DAY/FULL DAY"
" Columbia Explorers","4520 S. Kedzie ",5354050,"Head Start","3-4 hours"
" Stewart","4525 N. Kenmore ",5342640,"Head Start","5-6 hours"
" St. Paul Church of God - Chaney Ford Child Care Center","4526 S Wabash Ave ",2858721,"Head Start","HALF DAY/FULL DAY"
" Chicago Youth Centers - Roseland / CYC","461 E 111th St ",4684405,"Head Start","HALF DAY/FULL DAY"
" Chicago Youth Centers - Roseland / CYC","461 E 111th St ",4684405,"Head Start","HALF DAY/FULL DAY"
" Home of Life Community Dev. Corp. - Home of Life Just For You","4647 W Washington Blvd ",6268655,"Head Start","HALF DAY/FULL DAY"
" Home of Life Community Dev. Corp. - Home of Life Community Development","4650 W Madison St ",6268655,"Head Start","HALF DAY/FULL DAY"
" Christopher House - Christopher House - Uptown","4701 N Winthrop Ave ",7694540,"Head Start","HALF DAY/FULL DAY"
" McPherson","4728 N. Wolcott Ave ",5344625,"Head Start","5-6 hours"
" Onward Neighborhood House - First Start Academy","4753 W Washington Blvd ",,"Head Start","HALF DAY/FULL DAY"
" Hull House Association - Lincoln Square / Hull House","4754 N Leavitt St ",8788651,"Head Start","HALF DAY/FULL DAY"
" Catholic Charities of the Archdiocese of Chicago - St. Joseph","4800 S Paulina St ",9272524,"Head Start","HALF DAY/FULL DAY"
" Nash","4837 W. Erie ",5346125,"Head Start","5-6 hours"
" Lutheran Social Services of Illinois - Winthrop Children's Center / LSSI","4848 N Winthrop Ave ",8783210,"Head Start","HALF DAY/FULL DAY"
" McCutcheon","4865 N. Sheridan Rd ",5342680,"Head Start","3-4 hours"
" Westside Holistic Family Services - Westside Holistic Family Service","4909 W Division St ",9218777,"Head Start","HALF DAY/FULL DAY"
" Firman Community Services - Firman House East","4910 S Dr. Martin Luther King Dr ",3732083,"Head Start","HALF DAY/FULL DAY"
" Overton CPC","4935 S. Indiana ",5351811,"Head Start","5-6 hours"
" Healing Temple - Healing Temple","4941 W Chicago Ave ",2876964,"Head Start","HALF DAY/FULL DAY"
